"Title:","palomar - Traffic - Gi1/0/8"
"Vertical Label:","bits per second"
"Start Date:","2017-03-12 20:00:00"
"End Date:","2017-05-12 21:00:00"
"Step:","7200"
"Total Rows:","733"
"Graph ID:","13"
"Host ID:","2"
""
"Date","Inbound","Outbound"
"2017-03-12 20:00:00","1.3854555556e+02","2.1553688956e+04"
"2017-03-12 22:00:00","1.3882815387e+02","2.0809009272e+04"
"2017-03-13 00:00:00","1.3903689151e+02","2.0716741352e+04"
"2017-03-13 02:00:00","1.3903667965e+02","2.1476087712e+04"
"2017-03-13 04:00:00","1.3838840340e+02","2.1321999195e+04"
"2017-03-13 06:00:00","1.3896604104e+02","2.2277038419e+04"
"2017-03-13 08:00:00","2.4241656497e+04","7.3329368613e+05"
"2017-03-13 10:00:00","1.1687279470e+05","3.4651782442e+06"
"2017-03-13 12:00:00","5.3306381999e+05","1.1556768095e+07"
"2017-03-13 14:00:00","7.5404368688e+05","1.0033062506e+07"
"2017-03-13 16:00:00","4.0005680611e+05","9.0624408751e+06"
"2017-03-13 18:00:00","5.1630587879e+05","1.0947410404e+07"
"2017-03-13 20:00:00","4.5455144037e+05","6.7617225691e+06"
"2017-03-13 22:00:00","5.5860984062e+04","1.1059966037e+06"
"2017-03-14 00:00:00","1.4825549459e+03","6.3797156184e+04"
"2017-03-14 02:00:00","7.6303567427e+02","2.8321044894e+04"
"2017-03-14 04:00:00","1.0807299628e+03","3.1221378535e+04"
"2017-03-14 06:00:00","1.2015855153e+03","2.8388520915e+04"
"2017-03-14 08:00:00","2.3945240790e+04","7.6319509144e+05"
"2017-03-14 10:00:00","1.1091746361e+06","4.3318066263e+06"
"2017-03-14 12:00:00","6.8051404490e+05","1.0263025866e+07"
"2017-03-14 14:00:00","3.9435243534e+05","9.1037711672e+06"
"2017-03-14 16:00:00","3.1320410788e+05","6.4926949631e+06"
"2017-03-14 18:00:00","4.3931889926e+05","1.0228975125e+07"
"2017-03-14 20:00:00","3.8938499142e+05","7.5239792270e+06"
"2017-03-14 22:00:00","8.8761305148e+04","2.5282759296e+06"
"2017-03-15 00:00:00","1.3865633086e+02","2.5054129997e+04"
"2017-03-15 02:00:00","1.3858144692e+02","2.4129872418e+04"
"2017-03-15 04:00:00","7.7013825926e+02","2.7077909304e+04"
"2017-03-15 06:00:00","1.3888015556e+02","2.5097429941e+04"
"2017-03-15 08:00:00","2.7883411822e+04","1.1832392642e+06"
"2017-03-15 10:00:00","1.0966055934e+05","2.5807866343e+06"
"2017-03-15 12:00:00","6.8441680518e+05","1.5843640434e+07"
"2017-03-15 14:00:00","4.4432492394e+05","6.6607340970e+06"
"2017-03-15 16:00:00","4.0344746354e+05","9.8244413821e+06"
"2017-03-15 18:00:00","4.9296830116e+05","9.2741825582e+06"
"2017-03-15 20:00:00","4.9863172672e+05","6.9893239798e+06"
"2017-03-15 22:00:00","2.7454773933e+05","1.8353587467e+06"
"2017-03-16 00:00:00","1.3921644182e+02","2.9587422631e+04"
"2017-03-16 02:00:00","1.3879022484e+02","2.6467199182e+04"
"2017-03-16 04:00:00","1.0509311620e+03","2.9333307310e+04"
"2017-03-16 06:00:00","1.4575218429e+02","2.8410322442e+04"
"2017-03-16 08:00:00","1.4757714738e+04","4.2956506469e+05"
"2017-03-16 10:00:00","1.2872264238e+05","2.8790412345e+06"
"2017-03-16 12:00:00","5.6254958120e+05","1.4179262430e+07"
"2017-03-16 14:00:00","6.3026856491e+05","1.1500234644e+07"
"2017-03-16 16:00:00","2.8217783768e+05","4.5566764749e+06"
"2017-03-16 18:00:00","5.3644826715e+05","1.0496502442e+07"
"2017-03-16 20:00:00","7.2406886610e+05","1.2730193468e+07"
"2017-03-16 22:00:00","5.3189924923e+04","5.5354365225e+05"
"2017-03-17 00:00:00","2.1708298959e+03","8.5968140033e+04"
"2017-03-17 02:00:00","2.4513443213e+03","1.0234477491e+05"
"2017-03-17 04:00:00","9.2449918280e+03","2.5487687143e+05"
"2017-03-17 06:00:00","2.9923303926e+03","8.3002811919e+04"
"2017-03-17 08:00:00","1.9289485770e+04","5.4451108124e+05"
"2017-03-17 10:00:00","1.2941964573e+05","3.9607154022e+06"
"2017-03-17 12:00:00","5.0669447974e+05","1.1828499650e+07"
"2017-03-17 14:00:00","4.7314481152e+05","9.4846783364e+06"
"2017-03-17 16:00:00","2.8779198337e+05","6.0449344700e+06"
"2017-03-17 18:00:00","3.6032005643e+05","5.2655982991e+06"
"2017-03-17 20:00:00","6.0718253213e+05","8.3728554300e+06"
"2017-03-17 22:00:00","1.0306010624e+05","1.2731521857e+06"
