"Title:","palomar - Traffic - Vl1"
"Vertical Label:","bits per second"
"Start Date:","2017-03-12 20:00:00"
"End Date:","2017-05-12 21:00:00"
"Step:","7200"
"Total Rows:","733"
"Graph ID:","6"
"Host ID:","2"
""
"Date","Inbound","Outbound"
"2017-03-12 20:00:00","1.3540935711e+04","6.6439158519e+02"
"2017-03-12 22:00:00","1.3143212937e+04","6.6264914740e+02"
"2017-03-13 00:00:00","1.3115598604e+04","6.6451312441e+02"
"2017-03-13 02:00:00","1.3586421095e+04","6.6245712829e+02"
"2017-03-13 04:00:00","1.3178504021e+04","6.6444847156e+02"
"2017-03-13 06:00:00","1.3696191709e+04","6.6244462394e+02"
"2017-03-13 08:00:00","1.4704582070e+04","6.6433480810e+02"
"2017-03-13 10:00:00","1.9698447210e+04","6.6210412278e+02"
"2017-03-13 12:00:00","4.3281029887e+04","6.6230641056e+02"
"2017-03-13 14:00:00","5.1895906675e+04","6.3764821486e+02"
"2017-03-13 16:00:00","3.9629051416e+04","6.6491978447e+02"
"2017-03-13 18:00:00","3.4024877049e+04","6.4018436641e+02"
"2017-03-13 20:00:00","3.9621190786e+04","6.6286206389e+02"
"2017-03-13 22:00:00","2.2786234324e+04","6.6054387004e+02"
"2017-03-14 00:00:00","1.5331216157e+04","6.6292055959e+02"
"2017-03-14 02:00:00","1.4528870583e+04","6.6041167740e+02"
"2017-03-14 04:00:00","1.4682911802e+04","6.6290655964e+02"
"2017-03-14 06:00:00","1.4326599490e+04","6.6043787004e+02"
"2017-03-14 08:00:00","1.4631268490e+04","6.6266388704e+02"
"2017-03-14 10:00:00","2.2897425731e+04","6.5913225773e+02"
"2017-03-14 12:00:00","5.0323026228e+04","6.7568130609e+02"
"2017-03-14 14:00:00","5.3989912839e+04","6.6349549648e+02"
"2017-03-14 16:00:00","3.7203290665e+04","6.6393421405e+02"
"2017-03-14 18:00:00","3.5356944607e+04","6.3673410095e+02"
"2017-03-14 20:00:00","4.1021121161e+04","6.1557706192e+02"
"2017-03-14 22:00:00","2.3197839785e+04","6.6035281481e+02"
"2017-03-15 00:00:00","1.3053235371e+04","6.6275628245e+02"
"2017-03-15 02:00:00","1.3517005480e+04","6.6047924348e+02"
"2017-03-15 04:00:00","1.5075238896e+04","6.6277268148e+02"
"2017-03-15 06:00:00","1.5084434956e+04","6.6037001481e+02"
"2017-03-15 08:00:00","1.4587561985e+04","6.6274948148e+02"
"2017-03-15 10:00:00","2.4320708607e+04","6.6085780741e+02"
"2017-03-15 12:00:00","4.5148394831e+04","6.4284905660e+02"
"2017-03-15 14:00:00","5.0693294087e+04","6.6490203969e+02"
